"Name","Team","URL","PitchType","Speed"
"Jake Arrieta","Cubs","https://www.baseballprospectus.com/card/card.php?id=52691","Sinker",94.4
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Sinker",93.9
"Aroldis Chapman","Reds","https://www.baseballprospectus.com/card/card.php?id=53014","Slider",86.9
"Carter Capps","Marlins","https://www.baseballprospectus.com/card/card.php?id=70434","Slider",83.8
"Arquimedes Caminero","Pirates","https://www.baseballprospectus.com/card/card.php?id=51195","Slider",91
"Trevor Rosenthal","Cardinals","https://www.baseballprospectus.com/card/card.php?id=60664","Slider",88.2
"Blake Treinen","Nationals","https://www.baseballprospectus.com/card/card.php?id=68804","Slider",86.4
"Ken Giles","Phillies","https://www.baseballprospectus.com/card/card.php?id=70354","Slider",85.9
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Slider",84.3
"Jeurys Familia","Mets","https://www.baseballprospectus.com/card/card.php?id=58905","Slider",89.2
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Slider",85.7
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Slider",83
"Daniel Hudson","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57996","Slider",87
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Slider",85.7
"Hansel Robles","Mets","https://www.baseballprospectus.com/card/card.php?id=66336","Slider",87.7
"Bo Schultz","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=58646","Slider",88.3
"Joe Kelly","Red Sox","https://www.baseballprospectus.com/card/card.php?id=59351","Slider",85.6
"Garrett Richards","Angels","https://www.baseballprospectus.com/card/card.php?id=60655","Slider",86.8
"Kevin Gausman","Orioles","https://www.baseballprospectus.com/card/card.php?id=68557","Slider",80.2
"Gerrit Cole","Pirates","https://www.baseballprospectus.com/card/card.php?id=65957","Slider",86.6
"John Axford","Rockies","https://www.baseballprospectus.com/card/card.php?id=55512","Slider",87.4
"Roberto Osuna","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=68997","Slider",87.4
"Luis Garcia","Phillies","https://www.baseballprospectus.com/card/card.php?id=49727","Slider",84.8
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Slider",87.5
"Matt Harvey","Mets","https://www.baseballprospectus.com/card/card.php?id=68391","Slider",89.3
"J.R. Graham","Twins","https://www.baseballprospectus.com/card/card.php?id=70305","Slider",84.3
"Stephen Strasburg","Nationals","https://www.baseballprospectus.com/card/card.php?id=61056","Slider",86.8
"Justin Wilson","Yankees","https://www.baseballprospectus.com/card/card.php?id=59179","Slider",90.2
"Bryan Morris","Marlins","https://www.baseballprospectus.com/card/card.php?id=51993","Slider",91.7
"Danny Salazar","Indians","https://www.baseballprospectus.com/card/card.php?id=56723","Slider",85
"Mark Lowe","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=48157","Slider",86.3
"Brandon Maurer","Padres","https://www.baseballprospectus.com/card/card.php?id=58933","Slider",88.2
"Andrew Cashner","Padres","https://www.baseballprospectus.com/card/card.php?id=58136","Slider",84.5
"Tanner Scheppers","Rangers","https://www.baseballprospectus.com/card/card.php?id=61061","Slider",86.7
"Chris Archer","Rays","https://www.baseballprospectus.com/card/card.php?id=50101","Slider",87.9
"Pedro Strop","Cubs","https://www.baseballprospectus.com/card/card.php?id=46719","Slider",82.7
"Jacob deGrom","Mets","https://www.baseballprospectus.com/card/card.php?id=67740","Slider",89.6
"Mike Foltynewicz","Braves","https://www.baseballprospectus.com/card/card.php?id=66991","Slider",83.6
"Cody Allen","Indians","https://www.baseballprospectus.com/card/card.php?id=68494","Slider",87.3
"Juan Nicasio","Dodgers","https://www.baseballprospectus.com/card/card.php?id=57000","Slider",86
"Mike Dunn","Marlins","https://www.baseballprospectus.com/card/card.php?id=47296","Slider",86.7
"Tom Wilhelmsen","Mariners","https://www.baseballprospectus.com/card/card.php?id=65756","Slider",87.4
"Zach McAllister","Indians","https://www.baseballprospectus.com/card/card.php?id=50118","Slider",83.1
"Vincent Velasquez","Astros","https://www.baseballprospectus.com/card/card.php?id=67143","Slider",83.8
"Carlos Carrasco","Indians","https://www.baseballprospectus.com/card/card.php?id=47229","Slider",87.5
"Alexi Ogando","Red Sox","https://www.baseballprospectus.com/card/card.php?id=49910","Slider",86.4
"Jonathan Broxton","Cardinals","https://www.baseballprospectus.com/card/card.php?id=33197","Slider",88
"Scott Oberg","Rockies","https://www.baseballprospectus.com/card/card.php?id=101264","Slider",83.3
"Andrew Miller","Yankees","https://www.baseballprospectus.com/card/card.php?id=49617","Slider",83.9
"Jeff Samardzija","White Sox","https://www.baseballprospectus.com/card/card.php?id=50175","Slider",84.8
"Liam Hendriks","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=56426","Slider",86.4
"Wily Peralta","Brewers","https://www.baseballprospectus.com/card/card.php?id=50538","Slider",82.9
"Michael Lorenzen","Reds","https://www.baseballprospectus.com/card/card.php?id=68444","Slider",85.7
"Jake Arrieta","Cubs","https://www.baseballprospectus.com/card/card.php?id=52691","Slider",90.2
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Slider",84.5
"Rubby de la Rosa","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57608","Slider",84.5
"Sam Dyson","Rangers","https://www.baseballprospectus.com/card/card.php?id=68372","Slider",89.6
"Trevor Rosenthal","Cardinals","https://www.baseballprospectus.com/card/card.php?id=60664","Cureveball",81
"Kelvin Herrera","Royals","https://www.baseballprospectus.com/card/card.php?id=56449","Cureveball",80.8
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Cureveball",75.3
"Tommy Hunter","Cubs","https://www.baseballprospectus.com/card/card.php?id=57403","Cureveball",84.1
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Cureveball",82.1
"Jeremy Jeffress","Brewers","https://www.baseballprospectus.com/card/card.php?id=50094","Cureveball",79.9
"Joe Kelly","Red Sox","https://www.baseballprospectus.com/card/card.php?id=59351","Cureveball",79.4
"Garrett Richards","Angels","https://www.baseballprospectus.com/card/card.php?id=60655","Cureveball",78.7
"Jose Fernandez","Marlins","https://www.baseballprospectus.com/card/card.php?id=70444","Cureveball",83.2
"Gerrit Cole","Pirates","https://www.baseballprospectus.com/card/card.php?id=65957","Cureveball",81.4
"John Axford","Rockies","https://www.baseballprospectus.com/card/card.php?id=55512","Cureveball",78.2
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Cureveball",82.1
"Matt Harvey","Mets","https://www.baseballprospectus.com/card/card.php?id=68391","Cureveball",83.5
"Stephen Strasburg","Nationals","https://www.baseballprospectus.com/card/card.php?id=61056","Cureveball",81.2
"Justin Wilson","Yankees","https://www.baseballprospectus.com/card/card.php?id=59179","Cureveball",81.7
"Bryan Morris","Marlins","https://www.baseballprospectus.com/card/card.php?id=51993","Cureveball",84.3
"Danny Salazar","Indians","https://www.baseballprospectus.com/card/card.php?id=56723","Cureveball",79.9
"Yordano Ventura","Royals","https://www.baseballprospectus.com/card/card.php?id=66326","Cureveball",83.3
"Brandon Maurer","Padres","https://www.baseballprospectus.com/card/card.php?id=58933","Cureveball",87.2
"Andrew Cashner","Padres","https://www.baseballprospectus.com/card/card.php?id=58136","Cureveball",78.6
"Tanner Scheppers","Rangers","https://www.baseballprospectus.com/card/card.php?id=61061","Cureveball",82.2
"Jacob deGrom","Mets","https://www.baseballprospectus.com/card/card.php?id=67740","Cureveball",82.1
"Mike Foltynewicz","Braves","https://www.baseballprospectus.com/card/card.php?id=66991","Cureveball",76.4
"Keone Kela","Rangers","https://www.baseballprospectus.com/card/card.php?id=71016","Cureveball",83.8
"Mike Dunn","Marlins","https://www.baseballprospectus.com/card/card.php?id=47296","Cureveball",69.4
"Kevin Jepsen","Twins","https://www.baseballprospectus.com/card/card.php?id=45544","Cureveball",82.1
"Tom Wilhelmsen","Mariners","https://www.baseballprospectus.com/card/card.php?id=65756","Cureveball",77.6
"Zach McAllister","Indians","https://www.baseballprospectus.com/card/card.php?id=50118","Cureveball",80.2
"Vincent Velasquez","Astros","https://www.baseballprospectus.com/card/card.php?id=67143","Cureveball",81.8
"Carlos Carrasco","Indians","https://www.baseballprospectus.com/card/card.php?id=47229","Cureveball",82.7
"Jonathan Broxton","Cardinals","https://www.baseballprospectus.com/card/card.php?id=33197","Cureveball",76.9
"Scott Oberg","Rockies","https://www.baseballprospectus.com/card/card.php?id=101264","Cureveball",78.1
"Shelby Miller","Braves","https://www.baseballprospectus.com/card/card.php?id=60626","Cureveball",78.3
"Taijuan Walker","Mariners","https://www.baseballprospectus.com/card/card.php?id=67148","Cureveball",74.7
"Liam Hendriks","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=56426","Cureveball",76.6
"Michael Lorenzen","Reds","https://www.baseballprospectus.com/card/card.php?id=68444","Cureveball",80.3
"Jake Arrieta","Cubs","https://www.baseballprospectus.com/card/card.php?id=52691","Cureveball",80.5
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Cureveball",84.2
"Rubby de la Rosa","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57608","Cureveball",78.6
"Sam Dyson","Rangers","https://www.baseballprospectus.com/card/card.php?id=68372","Cureveball",84.5
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Cureveball",79.9
"Carter Capps","Marlins","https://www.baseballprospectus.com/card/card.php?id=70434","Knuckle.Curve",83.4
"Craig Kimbrel","Padres","https://www.baseballprospectus.com/card/card.php?id=58350","Knuckle.Curve",86.6
"Dellin Betances","Yankees","https://www.baseballprospectus.com/card/card.php?id=49775","Knuckle.Curve",83.4
"Wade Davis","Royals","https://www.baseballprospectus.com/card/card.php?id=47360","Knuckle.Curve",84.2
"Cody Allen","Indians","https://www.baseballprospectus.com/card/card.php?id=68494","Knuckle.Curve",85.8
"Mike Dunn","Marlins","https://www.baseballprospectus.com/card/card.php?id=47296","Knuckle.Curve",82.1
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Knuckle.Curve",84.5
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Knuckle.Curve",80.2
"Josh Fields","Astros","https://www.baseballprospectus.com/card/card.php?id=59166","Knuckle.Curve",78.9
"James Paxton","Mariners","https://www.baseballprospectus.com/card/card.php?id=68467","Knuckle.Curve",81.2
"Aroldis Chapman","Reds","https://www.baseballprospectus.com/card/card.php?id=53014","Changeup",88
"Trevor Rosenthal","Cardinals","https://www.baseballprospectus.com/card/card.php?id=60664","Changeup",87.2
"Kelvin Herrera","Royals","https://www.baseballprospectus.com/card/card.php?id=56449","Changeup",88.2
"Blake Treinen","Nationals","https://www.baseballprospectus.com/card/card.php?id=68804","Changeup",86.3
"Nathan Eovaldi","Yankees","https://www.baseballprospectus.com/card/card.php?id=57820","Changeup",84.3
"Tommy Hunter","Cubs","https://www.baseballprospectus.com/card/card.php?id=57403","Changeup",88.3
"Jumbo Diaz","Reds","https://www.baseballprospectus.com/card/card.php?id=34744","Changeup",89.5
"Noah Syndergaard","Mets","https://www.baseballprospectus.com/card/card.php?id=67132","Changeup",87.7
"Jeremy Jeffress","Brewers","https://www.baseballprospectus.com/card/card.php?id=50094","Changeup",89.3
"Daniel Hudson","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57996","Changeup",84.7
"Hector Rondon","Cubs","https://www.baseballprospectus.com/card/card.php?id=52251","Changeup",91.3
"Hansel Robles","Mets","https://www.baseballprospectus.com/card/card.php?id=66336","Changeup",86.5
"Bo Schultz","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=58646","Changeup",86.7
"Joe Kelly","Red Sox","https://www.baseballprospectus.com/card/card.php?id=59351","Changeup",84.6
"Jose Fernandez","Marlins","https://www.baseballprospectus.com/card/card.php?id=70444","Changeup",88.5
"Gerrit Cole","Pirates","https://www.baseballprospectus.com/card/card.php?id=65957","Changeup",87.4
"Roberto Osuna","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=68997","Changeup",82.1
"Fernando Rodney","Mariners","https://www.baseballprospectus.com/card/card.php?id=1449","Changeup",82.6
"Jason Motte","Cubs","https://www.baseballprospectus.com/card/card.php?id=48314","Changeup",88.9
"Matt Harvey","Mets","https://www.baseballprospectus.com/card/card.php?id=68391","Changeup",87.9
"J.R. Graham","Twins","https://www.baseballprospectus.com/card/card.php?id=70305","Changeup",82.8
"Stephen Strasburg","Nationals","https://www.baseballprospectus.com/card/card.php?id=61056","Changeup",88.1
"Justin Wilson","Yankees","https://www.baseballprospectus.com/card/card.php?id=59179","Changeup",85.2
"Danny Salazar","Indians","https://www.baseballprospectus.com/card/card.php?id=56723","Changeup",85.6
"Yordano Ventura","Royals","https://www.baseballprospectus.com/card/card.php?id=66326","Changeup",86.9
"Brandon Maurer","Padres","https://www.baseballprospectus.com/card/card.php?id=58933","Changeup",85.8
"Andrew Cashner","Padres","https://www.baseballprospectus.com/card/card.php?id=58136","Changeup",85.8
"Tanner Scheppers","Rangers","https://www.baseballprospectus.com/card/card.php?id=61061","Changeup",89
"Chris Archer","Rays","https://www.baseballprospectus.com/card/card.php?id=50101","Changeup",85.6
"Pedro Strop","Cubs","https://www.baseballprospectus.com/card/card.php?id=46719","Changeup",88.1
"Jacob deGrom","Mets","https://www.baseballprospectus.com/card/card.php?id=67740","Changeup",85.2
"Mike Foltynewicz","Braves","https://www.baseballprospectus.com/card/card.php?id=66991","Changeup",83.7
"Juan Nicasio","Dodgers","https://www.baseballprospectus.com/card/card.php?id=57000","Changeup",86.7
"Keone Kela","Rangers","https://www.baseballprospectus.com/card/card.php?id=71016","Changeup",88.5
"Kevin Jepsen","Twins","https://www.baseballprospectus.com/card/card.php?id=45544","Changeup",84.8
"Tom Wilhelmsen","Mariners","https://www.baseballprospectus.com/card/card.php?id=65756","Changeup",86.4
"Zach McAllister","Indians","https://www.baseballprospectus.com/card/card.php?id=50118","Changeup",85.5
"Vincent Velasquez","Astros","https://www.baseballprospectus.com/card/card.php?id=67143","Changeup",86.4
"Carlos Carrasco","Indians","https://www.baseballprospectus.com/card/card.php?id=47229","Changeup",88.1
"Alexi Ogando","Red Sox","https://www.baseballprospectus.com/card/card.php?id=49910","Changeup",87.3
"Scott Oberg","Rockies","https://www.baseballprospectus.com/card/card.php?id=101264","Changeup",86.9
"Shelby Miller","Braves","https://www.baseballprospectus.com/card/card.php?id=60626","Changeup",86.6
"Andrew Miller","Yankees","https://www.baseballprospectus.com/card/card.php?id=49617","Changeup",90.8
"Liam Hendriks","Blue Jays","https://www.baseballprospectus.com/card/card.php?id=56426","Changeup",88.1
"Wily Peralta","Brewers","https://www.baseballprospectus.com/card/card.php?id=50538","Changeup",83.4
"Michael Lorenzen","Reds","https://www.baseballprospectus.com/card/card.php?id=68444","Changeup",85
"Jake Arrieta","Cubs","https://www.baseballprospectus.com/card/card.php?id=52691","Changeup",88.4
"Lance McCullers","Astros","https://www.baseballprospectus.com/card/card.php?id=100521","Changeup",88.4
"Rubby de la Rosa","Diamondbacks","https://www.baseballprospectus.com/card/card.php?id=57608","Changeup",85.6
"Sam Dyson","Rangers","https://www.baseballprospectus.com/card/card.php?id=68372","Changeup",87.5
"Jarred Cosart","Marlins","https://www.baseballprospectus.com/card/card.php?id=59986","Changeup",83.6
"Josh Fields","Astros","https://www.baseballprospectus.com/card/card.php?id=59166","Changeup",81.1
"James Paxton","Mariners","https://www.baseballprospectus.com/card/card.php?id=68467","Changeup",85.8
